"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023101511,2023,"REG",6,59263,"10/15/2023","16:25:00",NULL,"3430","3700","NYJ","PHI","New York Jets","Philadelphia Eagles","Jets","Eagles",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","FOX","00:00","FINAL","FINAL",14,7,7,0,0,0,1,20,0,9,3,8,0,0,NULL,"6.5","43.5"
2023102206,2023,"REG",7,59273,"10/22/2023","16:05:00",NULL,"2510","3900","LA","PIT","Los Angeles Rams","Pittsburgh Steelers","Rams","Steelers",3005,"Inglewood","SoFi Stadium","CA","OUTDOOR","FOX","00:00","FINAL","FINAL",24,0,3,7,14,0,2,17,0,9,8,0,0,0,NULL,"-3.5","44.5"
2023102910,2023,"REG",8,59290,"10/29/2023","16:25:00",NULL,"3800","0325","ARI","BAL","Arizona Cardinals","Baltimore Ravens","Cardinals","Ravens",1907,"Glendale","State Farm Stadium","AZ","RETRACTABLE","CBS","00:00","FINAL","FINAL",31,7,7,7,10,0,1,24,7,0,0,17,0,0,NULL,"9.5","44.5"
2023110503,2023,"REG",9,59299,"11/05/2023","13:00:00",NULL,"1050","3800","CLE","ARI","Cleveland Browns","Arizona Cardinals","Browns","Cardinals",1048,"Cleveland","Cleveland Browns Stadium","OH","OUTDOOR","CBS","00:00","FINAL","FINAL",0,0,0,0,0,0,0,27,0,13,7,7,0,2,NULL,"-12.5","37.5"
2023111201,2023,"REG",10,59311,"11/12/2023","13:00:00",NULL,"0325","1050","BAL","CLE","Baltimore Ravens","Cleveland Browns","Ravens","Browns",3695,"Baltimore","M&T Bank Stadium","MD","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023111900,2023,"REG",11,59324,"11/19/2023","13:00:00",NULL,"0750","1200","CAR","DAL","Carolina Panthers","Dallas Cowboys","Panthers","Cowboys",1769,"Charlotte","Bank of America Stadium","NC","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023121006,2023,"REG",14,59373,"12/10/2023","13:00:00",NULL,"3430","2120","NYJ","HOU","New York Jets","Houston Texans","Jets","Texans",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
NULL,2023,"REG",18,59443,NULL,NULL,NULL,"2100","2250","TEN","JAX","Tennessee Titans","Jacksonville Jaguars","Titans","Jaguars",2350,"Nashville","Nissan Stadium","TN","OUTDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023100112,2023,"REG",4,59234,"10/01/2023","16:25:00",NULL,"4500","3800","SF","ARI","San Francisco 49ers","Arizona Cardinals","49ers","Cardinals",2099,"Santa Clara","Levi's Stadium","CA","OUTDOOR","FOX","00:00","FINAL","FINAL",16,0,10,6,0,0,0,35,7,14,0,14,0,2,NULL,"-15.5","43.5"
2023102911,2023,"REG",8,59291,"10/29/2023","16:25:00",NULL,"1400","2310","DEN","KC","Denver Broncos","Kansas City Chiefs","Broncos","Chiefs",5786,"Denver","Empower Field at Mile High","CO","OUTDOOR","CBS","00:00","FINAL","FINAL",9,3,6,0,0,0,0,24,7,7,0,10,0,0,NULL,"6.5","45.5"
